Loyalty Number,Table,Anomaly Type,Details,Recommended Action
557852,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2014-10, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
558248,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-10, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
558469,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-11, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
559127,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-07, Flight activity up to 2018-12 (17 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
559261,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-05, Flight activity up to 2018-12 (7 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
559619,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-01, Flight activity up to 2018-12 (23 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
560283,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-02, Flight activity up to 2018-12 (10 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
561722,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-07, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
561981,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-10, Flight activity up to 2018-12 (14 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
562324,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-09, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
562510,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-08, Flight activity up to 2018-12 (16 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
563428,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-01, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
564141,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-09, Flight activity up to 2018-12 (3 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
565074,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-06, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
565634,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2014-11, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
565690,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-09, Flight activity up to 2018-12 (3 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
565787,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-08, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
566033,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-07, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
566343,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-04, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
566663,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-10, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
566714,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-09, Flight activity up to 2018-12 (3 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
566802,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-02, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
567082,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-08, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
569188,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-04, Flight activity up to 2018-12 (20 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
569769,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-09, Flight activity up to 2018-12 (3 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
570531,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2014-09, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
570668,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2014-08, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
571406,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2014-03, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
571845,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-08, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
572062,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2013-12, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
572463,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-07, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
572812,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-08, Flight activity up to 2018-12 (16 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
572836,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-12, Flight activity up to 2018-12 (12 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
573986,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-03, Flight activity up to 2018-12 (9 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
574560,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-04, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
575015,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-07, Flight activity up to 2018-12 (17 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
575145,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2014-12, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
575342,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-11, Flight activity up to 2018-12 (13 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
577232,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-10, Flight activity up to 2018-12 (48 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
577374,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-08, Flight activity up to 2018-12 (4 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
577872,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-01, Flight activity up to 2018-12 (11 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
577901,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-06, Flight activity up to 2018-12 (18 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
577998,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-11, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
578234,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-06, Flight activity up to 2018-12 (18 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
578751,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-01, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
578788,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-08, Flight activity up to 2018-12 (16 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
579245,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-11, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
579584,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2014-07, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
579684,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-03, Flight activity up to 2018-12 (9 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
580068,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-08, Flight activity up to 2018-12 (16 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
580592,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2013-07, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
581380,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-12, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
582097,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-06, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
582166,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-09, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
582256,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-09, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
582427,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-11, Flight activity up to 2018-12 (1 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
582429,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-02, Flight activity up to 2018-12 (10 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
582990,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-04, Flight activity up to 2018-12 (20 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
583165,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2013-12, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
583175,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-09, Flight activity up to 2018-12 (15 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
583223,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-08, Flight activity up to 2018-12 (4 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
584426,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2013-09, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
585162,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-03, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
585277,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-08, Flight activity up to 2018-12 (4 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
585495,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-01, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
587136,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-11, Flight activity up to 2018-12 (13 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
588292,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-07, Flight activity up to 2018-12 (17 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
588943,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-09, Flight activity up to 2018-12 (3 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
589074,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-08, Flight activity up to 2018-12 (4 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
589430,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-07, Flight activity up to 2018-12 (17 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
590012,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-02, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
590727,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-01, Flight activity up to 2018-12 (11 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
592213,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-04, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
592218,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-01, Flight activity up to 2018-12 (23 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
593007,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-09, Flight activity up to 2018-12 (3 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
593327,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-03, Flight activity up to 2018-12 (9 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
594044,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-03, Flight activity up to 2018-12 (9 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
594468,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-11, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
594606,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-02, Flight activity up to 2018-12 (22 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
594626,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-06, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
594681,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-05, Flight activity up to 2018-12 (19 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
595529,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-10, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
596033,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-09, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
596173,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-04, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
597124,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-07, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
597209,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-07, Flight activity up to 2018-12 (5 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
597522,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-05, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
597630,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-04, Flight activity up to 2018-12 (20 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
598258,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-11, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
598706,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-03, Flight activity up to 2018-12 (9 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
599560,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-12, Flight activity up to 2018-12 (12 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
599925,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-08, Flight activity up to 2018-12 (4 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
600021,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-04, Flight activity up to 2018-12 (8 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
600923,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-09, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
601068,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-12, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
601583,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-04, Flight activity up to 2018-12 (8 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
602068,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-03, Flight activity up to 2018-12 (9 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
602086,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-11, Flight activity up to 2018-12 (13 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
602176,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-05, Flight activity up to 2018-12 (7 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
602275,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-09, Flight activity up to 2018-12 (15 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
602384,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-04, Flight activity up to 2018-12 (8 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
602649,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-07, Flight activity up to 2018-12 (17 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
603050,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-10, Flight activity up to 2018-12 (14 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
603248,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-10, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
604039,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-07, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
604076,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-12, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
604471,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-06, Flight activity up to 2018-12 (18 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
604630,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-11, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
604839,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2014-06, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
606117,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2014-04, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
606344,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-09, Flight activity up to 2018-12 (15 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
606563,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-05, Flight activity up to 2018-12 (7 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
606600,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-11, Flight activity up to 2018-12 (1 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
606712,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-04, Flight activity up to 2018-12 (8 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
607266,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-03, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
607752,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2014-12, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
607993,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-12, Flight activity up to 2018-12 (12 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
608601,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-11, Flight activity up to 2018-12 (1 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
609878,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-10, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
610631,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-02, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
610860,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-05, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
611046,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-06, Flight activity up to 2018-12 (6 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
612013,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-02, Flight activity up to 2018-12 (10 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
612370,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-09, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
612650,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-09, Flight activity up to 2018-12 (15 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
612742,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-04, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
613925,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-11, Flight activity up to 2018-12 (13 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
614787,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-01, Flight activity up to 2018-12 (23 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
615054,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-05, Flight activity up to 2018-12 (7 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
615385,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-08, Flight activity up to 2018-12 (16 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
616137,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-06, Flight activity up to 2018-12 (6 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
616183,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-08, Flight activity up to 2018-12 (16 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
616374,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-09, Flight activity up to 2018-12 (15 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
616611,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-02, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
617108,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-09, Flight activity up to 2018-12 (15 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
618823,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-06, Flight activity up to 2018-12 (6 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
618871,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-09, Flight activity up to 2018-12 (3 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
619141,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-08, Flight activity up to 2018-12 (16 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
619596,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-06, Flight activity up to 2018-12 (6 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
620792,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-06, Flight activity up to 2018-12 (18 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
622036,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-09, Flight activity up to 2018-12 (3 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
